trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 1, 'e': 0.2481754516523729}",20,11,16.073145283141628,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 1, 'e': 0.23847605343372313}",20,8,-27.96178212892339,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 1, 'e': 0.22875280780845939}",25,8,31.10885591413818,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 1, 'e': 0.2190066870930415}",30,0,23.078568586982787,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 1, 'e': 0.20923866589141926}",25,18,12.583656565441707,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 1, 'e': 0.19944972099757285}",25,6,22.02401398474948,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 1, 'e': 0.18964083129783424}",25,12,18.596823774883315,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 1, 'e': 0.17981297767299934}",30,8,-54.16068163766053,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
140,False,"{'a': 1, 'e': 0.16996714290024081}",30,20,16.296709997715354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 1, 'e': 0.16010431155483126}",25,16,18.115397378796654,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 1, 'e': 0.15022546991168584}",20,11,10.40279172646221,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 1, 'e': 0.1403316058467367}",25,5,21.023586687928745,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 1, 'e': 0.13042370873814554}",20,5,24.142606993745595,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 1, 'e': 0.1205027693673666}",20,15,5.894870305917237,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 1, 'e': 0.11056977982006957}",20,9,-15.748542375110159,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 1, 'e': 0.10062573338693172}",20,0,18.125530338032988,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
148,False,"{'a': 1, 'e': 0.09067162446430967}",20,8,-19.662334757595588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 1, 'e': 0.08070844845480062}",25,0,36.00708959542365,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 1, 'e': 0.0707372016677029}",20,6,-8.829871254899725,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 1, 'e': 0.0607588812193859}",20,0,25.474996626669277,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 1, 'e': 0.05077448493357918}",20,6,21.608355804108967,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 1, 'e': 0.040785011241591035}",30,0,36.908265883681324,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",35,18,33.358539968690955,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,10.715083657895725,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,20,17.423666568104586,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,8,35.777997432256036,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,21.306178782130157,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,8,33.358096677738786,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,13.967837434615294,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,5,19.705896552528042,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,7,32.061311232217015,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,11,15.777328562564477,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
